date,pos1,pos2,pos3,pos4,pos5,pos6,pos7,bonus
April 9 2021,1,19,28,29,31,33,43,17
April 6 2021,2,14,24,25,35,44,45,11
April 2 2021,30,32,33,34,37,45,49,25
March 30 2021,12,22,25,30,37,38,45,2
March 26 2021,2,4,16,24,25,27,49,29
March 23 2021,5,6,12,28,29,36,46,40
March 19 2021,2,7,8,26,30,43,48,25
March 16 2021,8,15,25,27,33,39,44,20
March 12 2021,5,12,15,23,28,38,39,46
March 9 2021,3,7,16,22,29,31,42,15
March 5 2021,6,9,23,25,31,36,48,30
March 2 2021,9,29,30,36,42,46,49,47
February 26 2021,11,17,19,22,27,31,40,38
February 23 2021,3,13,14,20,30,45,49,35
February 19 2021,1,5,10,18,20,40,42,47
February 16 2021,1,6,12,21,34,37,47,20
February 12 2021,2,5,10,11,14,23,33,47
February 9 2021,4,12,16,17,33,36,44,2
February 5 2021,1,2,23,32,35,36,45,28
February 2 2021,17,24,27,34,38,42,48,19
January 29 2021,9,11,20,22,33,36,46,49
January 26 2021,26,37,42,44,46,49,50,24
January 22 2021,11,21,23,25,28,41,43,10
January 19 2021,23,31,34,38,40,45,50,41
January 15 2021,5,23,31,35,36,37,43,13
January 12 2021,4,12,13,15,18,30,50,34
January 8 2021,4,21,24,25,26,27,42,8
January 5 2021,1,16,21,24,35,37,39,45
January 1 2021,18,21,28,29,31,32,49,38
December 29 2020,8,12,23,25,29,43,46,13
December 25 2020,8,12,16,30,38,48,50,14
December 22 2020,4,29,30,37,38,43,44,15
December 18 2020,2,9,10,22,31,35,49,30
December 15 2020,1,4,20,33,44,45,49,47
December 11 2020,9,21,30,33,38,39,46,48
December 8 2020,5,13,14,21,36,37,43,40
December 4 2020,5,7,14,23,24,46,47,11
December 1 2020,1,4,9,15,18,24,31,43
November 27 2020,9,15,35,41,42,45,46,43
November 24 2020,6,8,13,27,41,46,47,39
November 20 2020,11,17,29,33,39,40,42,48
November 17 2020,6,18,21,30,31,34,38,1
November 13 2020,3,4,7,19,44,48,49,8
November 10 2020,4,6,18,27,28,30,40,13
November 6 2020,7,9,19,20,26,32,35,49
November 3 2020,5,7,14,21,26,34,49,31
October 30 2020,19,20,23,31,37,46,48,50
October 27 2020,2,9,11,29,33,39,44,15
October 23 2020,2,8,20,21,29,34,37,41
October 20 2020,8,27,30,44,46,47,50,32
October 16 2020,1,4,8,10,12,17,41,19
